,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_Mean,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength,original_shape2D_Elongation,original_shape2D_MajorAxisLength,original_shape2D_MaximumDiameter,original_shape2D_MeshSurface,original_shape2D_MinorAxisLength,original_shape2D_Perimeter,original_shape2D_PerimeterSurfaceRatio,original_shape2D_PixelSurface,original_shape2D_Sphericity,categories
367,124.0,164.0,1456132962.0,1.4270435665845065,20.0,3.0245075471070115,180.0,145.23005066034145,12.034043532121185,147.0,85.0,95.0,8.516841941566486,146.01468079251543,-0.5654903877153734,1456132962.0,0.40804190654371275,228.51939213483135,11.364379206017485,7.487399969032034,-1.0795970529478947,1.6966197693386662,0.10260706628416764,0.8859431044261856,0.10260706628416764,0.47590960684325334,0.09191453564799362,0.9486964668579163,0.9486964668579163,0.996053574373686,0.982898822285972,-0.6309167684792252,0.9132462494729909,0.10260706628416764,3.311476349972365,0.3368020468309366,1.9536407658065076,0.8877784381928129,0.42185097699539614,6.62295269994473,1.851033699522341,0.4498067089057084,3.12987398624027,32237.18814606577,0.4720077915321938,2.3572548704474463,27868.446133122492,0.4500562085185164,11.439002606225658,68.56830361064746,792.6797124366745,7.186347033913471,0.10810313706924882,0.0219835679662978,0.24264040882474333,0.0027630716309931377,2661.9391108416194,0.3611822275794163,0.5852318192205662,10.738591265813897,240.25219225536105,2871.8171319118233,23.460886692306257,0.1282246209094954,5.980280433491327,677.8835365106711,0.09071768412272677,0.10787285132800374,149.94575687672258,0.275698380438717,2.840906025657051,0.04109772871771555,153.60594795539035,0.2855129144152237,0.9181603349870787,9.87360594795539,2924234.007434944,34492825.61895911,270761.4845224081,0.18052302767451467,99.82156133828997,0.18554193557302967,0.4309070692011609,4.415634042746496,0.07423081806115867,5.185234389535673,0.007877243843157926,2908118.2240571575,138.51943634464016,0.00037924556634269096,1.087401719020246,0.004589118406911836,0.003660519649574962,0.724966189569439,352.11643004656327,384.8649113650139,68297.5,255.2725065756509,1104.655987697715,0.016174178962593287,68298.0,0.8386490984766977,3.0
368,116.0,141.0,678462963.0,0.821707570678856,13.0,3.365893069300936,160.0,130.75969090448442,7.620600855944765,133.0,89.0,71.0,5.470059963899646,131.1080956071051,-0.8790194480465227,678462963.0,0.6400908143876723,91.23596828550886,7.81346490242899,1.361500460453248,-0.686306015636412,0.6690369744614479,0.07940804579822978,0.7878191512787796,0.0792548023224979,0.39958352062596153,0.07307136752563478,0.9603981394180396,0.9603879231863242,0.9953316427790877,0.9841541476513581,-0.5260257746582763,0.7609395820988596,0.07912071428123248,2.7687646265986565,0.568182694274577,1.2145587340003041,0.797415520276166,0.7268983304313119,5.537529253197312,1.1342806104109697,0.18711125506491944,2.2197043298263224,22521.702862933875,0.5706030621467918,2.207895607424162,25264.38444388143,0.18631400449161423,7.861895110210286,71.33235368634406,569.8031669622499,9.955379965093039,0.14440573712805788,0.023097368609446802,0.16777418364266952,0.004158069757866519,1573.6710167621584,0.46488848529349547,0.32808000590960706,6.885570692365949,493.41135317029534,4134.838652346806,63.355647803551115,0.1836978637125728,5.436130202657952,452.63586910340456,0.13271850924256118,0.08573600202685583,353.35702292677803,0.36410909125879065,2.37945206492616,0.07578880084440197,152.41397849462365,0.4097149959532894,0.6331078737426292,6.408602150537634,2577451.569892473,22347067.201612905,309995.5678016726,0.2481145459976105,111.69354838709677,0.3002514741588623,0.5668237415075545,3.6297662397263983,0.1432642011029481,4.0791067998837445,0.009424879655434508,2566193.903543763,100.93045540243392,0.00067487902155397,0.5334924580022895,0.0024374613686877103,0.0038976734645275457,0.9690050400984613,229.0712094439107,241.1016383187804,39469.5,221.9711564925997,770.9676041556495,0.019533249829758407,39470.0,0.9134812024538178,6.0
369,47.0,100.0,161118084.0,1.744392549979885,24.0,3.61850783339163,143.0,66.16987380291775,16.323061613669463,59.0,35.0,108.0,10.965456442178565,69.33086482718568,1.2029874404833982,161118084.0,0.3669167026781564,428.3166185914314,5.337695523561205,29.88063437167945,4.2078888314176615,2.9299722735072304,0.12350001670862837,0.9190112810443406,0.12268671553439398,0.5373312185702577,0.1080968283042959,0.9387921924285088,0.9387379723502265,0.9952564712499936,0.9795715783912732,-0.6480824084641629,0.9444555194444109,0.12197507700693887,2.1531519905280745,0.30223809281255554,2.331449934164255,0.9384390191612237,0.49829495260801526,4.306303981056149,2.204632725110617,0.7633680725539645,3.5984259329814576,13809.784748948357,0.41199870965566865,2.74805442874988,12298.680957069126,0.7911160220192343,5.499209403621826,66.1256899072168,346.0338912258719,23.69337981609104,0.35979843107226084,0.024122353523000843,0.1428638056649932,0.009363218612159,1150.3437179563402,0.26476882867725027,1.1817661202634395,6.669891931678208,177.13329001541007,785.5040087482766,60.730638785900446,0.37019469388865034,6.050905064716653,453.6053647700114,0.10240943784634735,0.12987410125600407,113.48487853890018,0.29291897485172197,1.9315488796807994,0.11796654608247018,65.69047619047619,0.26067649281934996,1.7049634668682287,6.857142857142857,1462439.6547619049,6610702.753968254,384043.28966820985,0.4623015873015873,63.94444444444444,0.2537477954144621,0.5194174956765044,2.9240280374031875,0.2599721129571654,4.771324648397945,0.007518124049046809,1444747.4879535148,133.7262960467638,0.0008033465639578887,1.294604564135428,0.00956388587074693,0.008588839596224829,0.5624686345536448,277.8808372492782,289.99310336626974,33518.5,156.29925509622512,798.2813126546342,0.02381614071795081,33519.0,0.81300133133947,1.0
370,107.0,178.0,741706728.0,2.1207940407470325,38.0,2.6298343561937667,215.0,146.40742179330127,22.130120735773826,152.0,63.0,152.0,16.180010972245707,148.86573327454673,-0.5924037257237749,741706728.0,0.26166432465394535,725.8733872068643,20.294912712721803,59.98495161183227,-5.452809795979173,4.77881887971818,0.148708122878357,0.9396395987866022,0.14709448487611368,0.6051931224794717,0.1267121885544079,0.9267084976540436,0.9266141213621675,0.9970300846568556,0.9816351610435746,-0.6614503075110083,0.9690146018909267,0.1458072142763628,4.374629253074645,0.19680610382678254,2.838379375899755,0.946105349687461,0.3377419998843811,8.74925850614929,2.6840903358093926,1.231881750649134,4.249738227816402,11059.49299351639,0.3304398994148731,2.900800444512386,8757.6432818429,1.234210654893093,20.454689414084676,63.27410439511189,1292.6834384056888,4.4309334425554665,0.07058400727406802,0.02610450495301206,0.5240784221512098,0.0020836962740529786,1251.7738068309916,0.24326721571277654,1.3205018064719831,20.52380634955298,93.80282043015389,1874.0719069799193,6.749951512661374,0.07341246014490682,6.131313869553253,506.19735343293024,0.09685023180378069,0.15374675072455107,49.33827432998332,0.2686603083003289,5.428669987558519,0.02200106938323113,72.83522727272727,0.20691825929752067,1.8741929235537191,19.125,593967.9403409091,13278618.369318182,30196.066351895875,0.10524091360028862,75.63068181818181,0.21485989152892562,0.47538999115315617,8.543791728235995,0.053705629955699004,5.466873316941612,0.010517195016283724,584927.2801443053,35.15852766110715,0.0008298192752332171,2.9662090059226784,0.008497128727774824,0.015570663603882411,0.6648733052466057,262.51074211588656,262.37568484903477,33468.5,174.53638477332882,800.2224381515889,0.023909719233057618,33469.0,0.8104240702884303,3.0
371,99.0,168.0,1803541071.0,2.1884960309963493,35.0,3.7106427017249826,223.0,135.2204757724162,21.842822102152397,138.0,21.0,202.0,14.843153024803556,138.1188400815277,-0.7313854605353025,1803541071.0,0.2634683662539766,792.2369173480264,36.170268416442276,96.31817345658428,-8.078145148135274,5.126988377099921,0.14467054618868494,0.9451032249204845,0.14336597765709813,0.5953489428211636,0.12379246892658496,0.9285344392600487,0.9284474680246096,0.9982368480609973,0.9856752619482136,-0.6747390613032911,0.9730722228639026,0.14222448019195966,5.9097110767180165,0.20317933997260407,2.8904418705333814,0.9524601404363703,0.3276929034838583,11.819422153436033,2.7407609333695815,1.3179147308221513,4.232059566598917,33763.5102125004,0.35713087668313637,2.9267806648984522,24908.562814017198,1.3281476276047735,36.36944817592367,64.03491606816091,2341.2185189494503,2.115973468230608,0.034124375845855585,0.0251776792484575,0.9138069879450229,0.0009555074502957361,3046.9638562128503,0.21797069392567459,1.8018543267646399,35.64819051669777,117.53751942888624,4375.733330962335,3.6528835633916157,0.03860253416489018,6.38458975479941,1489.6667931087554,0.10513407433396002,0.14785384119059455,69.56783776348784,0.29259704905951,10.316670670116073,0.012595637768553698,150.03225806451613,0.1728482235766315,2.835029146934528,37.316820276497694,2126509.5541474656,81566744.13364056,58129.27307171369,0.04777424267624783,161.34331797235023,0.18587939858565694,0.43941297495393156,16.59269382013348,0.019627388923880974,6.057255731440266,0.009181201806623582,2114646.3792539127,46.60454963835845,0.00031637716907482007,5.040954920965677,0.005121113842411199,0.012125641620740837,0.8706055609508759,378.7317761214279,400.3448513469356,94540.5,329.7259904001173,1553.1828996322695,0.016428756983856332,94541.0,0.701764312858827,3.0
372,40.0,123.0,402816438.0,2.2898768621523953,53.0,2.046416850224654,211.0,77.32022481625594,27.21424008849397,72.0,9.0,202.0,21.774201052664257,83.46334221778699,0.3595168302627755,402816438.0,0.2189178032246542,987.7123285270624,14.496421092186003,83.0390620828615,5.412161397018503,6.359400274561963,0.25323306587291894,0.9233867634082469,0.21671433511186847,0.8012493401487927,0.20570099265430855,0.8969742679491528,0.8952255637014109,0.9969599597678701,0.9786456262430797,-0.5848877246918582,0.9644105471197242,0.19140802654012296,3.6013706635586957,0.14692652358707878,3.2307281347957755,0.930336281083096,0.23084299120858057,7.202741327117391,2.934709243446449,1.6531583351087202,4.714302320403467,14943.63270211846,0.25842858110018957,4.103692185431355,12658.921971465628,1.6724276418050275,14.739230436662343,58.10159965412884,836.3297535667964,6.860476426557877,0.1164894434896823,0.03825650316923298,0.6444819206775118,0.004355063469364606,2507.9918648606085,0.21009125965311487,1.713115125695113,15.80224995838848,62.687228695444034,878.8929223457803,7.67134619328416,0.11219391534170574,5.7521373697629175,2049.9830936922176,0.17071044234517896,0.2064591439688716,38.463662569490474,0.40877295105641537,6.86887563372952,0.0454023545284994,250.0814479638009,0.188598377046607,2.175444583216742,19.254901960784313,361298.72926093516,4958589.028657617,36670.0536568863,0.11397801048244559,333.46153846153845,0.2514792899408284,0.5112087017741042,10.111375226176076,0.05906913052803471,5.346175001423929,0.022931258106355382,359397.0195037639,70.45443017144919,0.00041477153567371066,7.66262723707373,0.009181250234312393,0.016156854830209236,0.6852072001961786,331.87933022652004,335.47727195743084,57824.5,227.4061066674968,1011.092495836678,0.0174855380649496,57825.0,0.8430823316684901,0.0
373,114.0,172.0,411573953.0,1.8951944712108313,29.0,3.3550699639935653,196.0,146.16176158096047,17.748097301073635,150.0,47.0,149.0,12.393341488356992,147.86588397982095,-0.7677999861795292,411573953.0,0.3203182557229524,501.059096684338,29.49628744313663,36.33405599145554,-4.063011024849231,3.3134341005198777,0.19489932565217008,0.8888677356688722,0.191025522283545,0.7114524150333852,0.15773074776768872,0.9051126701688148,0.90487461919509,0.9961116928873089,0.9761749391196484,-0.552071925681882,0.9349208685691406,0.18782674651995446,5.358791533075939,0.2285686837367265,2.734037673010644,0.894549360250854,0.37493852179526854,10.717583066151878,2.528334843014394,0.877083356543012,4.255020330092496,4731.439226519337,0.2513514251232117,3.324349107459096,6029.670845728857,0.8840765620256008,29.734169145771357,58.28612409689758,1751.2492562685932,2.229057701402561,0.03935195775788712,0.029068805223723335,0.8625616216190244,0.0012534369549088795,987.2473443482465,0.26451284644716355,1.128146845387938,28.945451833795353,60.036412415597184,1862.5897298772602,2.1472866965349544,0.04245135300849774,5.609679362449242,478.0833653648089,0.12572087447416833,0.1982973863153421,33.186974699754906,0.30341635784290943,8.771828464193764,0.013552158274908237,47.939655172413794,0.20663644470868014,1.953552318668252,29.879310344827587,266533.1637931034,8443295.413793104,8762.102584765227,0.05104728673078427,36.62068965517241,0.15784780023781214,0.40326703087380644,12.662384356914883,0.02108152935706617,5.68614664187714,0.012324691882702932,259949.79994054697,21.02716809932907,0.0010320570356552208,4.3146577956324395,0.007571071656614261,0.027974027251847403,0.6805228102952424,190.5062580630182,190.19200824430033,18823.5,129.64385411587583,582.6589462905472,0.030953804887005457,18824.0,0.83471977455533,2.0
374,61.0,112.0,164253791.0,1.6000758261731183,31.0,2.21383992320727,164.0,82.72774731300724,16.20583851576568,78.0,48.0,116.0,12.705405356972731,84.88635836438988,0.5710722901171681,164253791.0,0.3483622593222318,361.8136608828481,8.434444524276778,11.833780810612563,1.814316364852694,2.4744881151630116,0.12749729774187107,0.9019627044967004,0.12149139793427825,0.542695070882382,0.11259328380442407,0.9401670820751534,0.9398486226328997,0.9965858405736223,0.982746922679192,-0.6276273713584952,0.9292937768028003,0.11702516424776309,2.801373193105358,0.28084071251251613,2.1818894281086987,0.9122403576546009,0.39963299772868804,5.6027463862107165,2.042452016385687,0.6504963532262207,3.427473439748289,9854.442246106602,0.4323071834220927,2.9983617757883874,7940.917701250274,0.6610876182089896,8.576442202237333,66.75363018205746,552.9132704540469,10.972905717628135,0.15949073870975602,0.02802881450566302,0.2781126661891227,0.004079535626817129,935.8876165866056,0.3236101752483736,0.7152055853539167,10.045082227368791,208.9482362820869,1412.0843432027468,40.59422688737358,0.1359144267489548,5.57927568276032,400.67560358976215,0.13792305962546136,0.12691379688528187,145.17889484457726,0.3691978917752168,3.8969007606429242,0.04892673345006007,84.54770318021201,0.29875513491240996,1.104246525740114,11.8339222614841,599798.2438162544,4384625.830388692,108075.7160001963,0.1306919905771496,95.93992932862191,0.3390103509845297,0.5955213105789455,6.998127188425999,0.08192217142091161,4.038243054063929,0.012415003290195218,593310.311328647,51.408201941632434,0.0011407674241192766,1.9352393261336518,0.005194078022987774,0.01808688732921874,0.7523806712406623,197.10718896192108,194.7331507473753,22794.5,148.29963913753025,578.2396820942915,0.025367508920761218,22795.0,0.9255759790028528,6.0
375,112.0,138.0,625666039.0,1.108982784992438,15.0,8.318255793869385,150.0,126.38535491520182,9.21747101088785,130.0,40.0,110.0,6.124102360438306,126.98915160757493,-1.7788837766657903,625666039.0,0.5293533369117835,152.9866889701226,21.60862293959948,8.949727824571136,-2.116096527436801,1.2837917315065517,0.04777956077364923,0.9282426974093012,0.04777956077364923,0.2763823368426094,0.0454648047193377,0.9761102196131753,0.9761102196131753,0.998708660519631,0.9931743484609072,-0.7468162340115962,0.900006445207824,0.04777956077364923,4.615151081955148,0.490512160495343,1.3945639634017806,0.928962798052716,0.6370467185086872,9.230302163910295,1.346784402628133,0.3328928230700502,2.1341441653356874,27149.788803546573,0.6997728956014891,1.3834693916168705,20537.850765503375,0.33148211931328314,21.657843187793187,74.64962111449044,1631.5841280478376,3.6851123984054164,0.0504463073697957,0.017387981077213035,0.35933295820084515,0.000998544331364554,846.9754159754111,0.3964829872447375,0.5910573850150084,19.239354903880525,1110.6384128974744,25485.73847558508,50.46148828526174,0.06395816637105986,6.4402688971098865,150.69599075054217,0.07029120169910061,0.055054384246610646,764.0991156359983,0.25161286870067234,4.5350609162976205,0.0185768933919747,38.58730158730159,0.30624842529604435,0.9552154195011338,16.38888888888889,6082651.301587301,142283605.42063493,267943.25892195775,0.0980004409171076,39.84126984126984,0.3162005542957924,0.5810578556347504,9.906852333194518,0.05141631516882665,4.2044337012342865,0.003247590081962988,5987836.1841773745,18.34621570175032,0.0013476129354554492,0.8305514731202562,0.0010462323275638491,0.029386598206754284,0.9004094677845482,238.045301029322,271.56214758320056,38797.5,214.3382428084244,811.0681092190376,0.020905164230144664,38798.0,0.8608935964018689,2.0
376,47.0,135.0,911653440.0,2.3290323375021704,53.0,2.01076735653245,171.0,93.9105987098726,27.246926743748347,95.0,25.0,146.0,21.240658496835422,99.24965876483067,-0.1965790213214766,911653440.0,0.2077881649537251,1031.2942148886045,12.36089608695105,91.61723122898684,-2.882695022452875,6.78353717330433,0.10840754285236906,0.9685362901826828,0.10534263817188069,0.4903812909388402,0.09710320596843186,0.9478374608552961,0.9476351713821085,0.997082645888247,0.9850056851063823,-0.7565241107810156,0.9849958968442413,0.10268008968406367,3.2698793260520223,0.16732363063662753,2.893216951272999,0.9717921552651205,0.217449045691737,6.539758652104045,2.775853062497473,1.7229861790391743,3.996438143233042,45250.42607699705,0.48893479213170377,2.506881129413035,19230.586878302303,1.7317723338855169,12.485656246961069,68.63569568552875,841.3912522015365,15.143729777979473,0.20930886461346,0.022681048933416086,0.2977887280896472,0.004109004500650633,2302.600594384552,0.22922234082249696,1.4135048761373454,13.737106454802706,265.6558450902327,2531.1288363965873,93.19864841440273,0.14659552001958248,6.4804981215752315,1054.3117605299256,0.1037058697577586,0.10850468400522965,176.1480793781538,0.3057943888751329,4.098941641099898,0.04558360811253982,155.43259259259258,0.23027050754458162,1.521110562414266,13.765925925925925,1805489.0414814814,18359981.19259259,358292.52691604936,0.153919341563786,153.28148148148148,0.22708367626886145,0.4912445883677495,7.008147941627118,0.0730366947850472,5.377648896420182,0.007293433748608845,1786689.990944307,125.4742733386886,0.0005016325188081553,1.2983201578917645,0.011650166003703789,0.0060354640577547245,0.8052995203327934,387.5735058224662,413.74871601009227,92548.5,312.11275833253114,1332.0945878777045,0.014393475722218128,92549.0,0.8095702871255841,1.0
